land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,Land_Rate_per_Acre,property_value
201,177,3,1,0,1,1,0,10,165432,30000000
196,182,4,3,1,1,0,1,11,187043,7888000
198,182,4,4,1,1,0,1,20,148658,4866000
178,166,2,3,0,1,0,0,5,123785,8358000
183,165,3,1,1,1,0,0,8,156470,6845000
399,377,6,5,1,1,1,1,7,306596,6797000
337,334,5,3,1,0,1,1,14,283236,20000000
110,94,1,2,0,0,0,0,1,76026,7105000
170,159,3,4,1,0,1,0,22,121398,8405000
128,116,1,2,0,0,1,0,1,105593,3506000
220,189,3,1,0,0,0,0,1,149798,7700000
350,330,5,3,1,1,1,1,5,294321,9369000
296,258,4,2,1,1,0,1,2,240550,8716000
209,184,3,3,1,1,0,0,3,163884,5394000
207,187,3,3,1,1,0,0,11,156310,6367000
177,154,3,3,1,1,0,1,10,160441,5080000
291,283,4,3,1,1,0,1,8,215767,7209999
242,211,5,2,1,1,1,1,14,223955,5700000
132,129,1,2,0,0,0,0,5,99461,12400000
277,247,4,5,1,1,1,1,18,220432,4900000
172,164,3,4,1,1,0,0,12,148221,9630000
203,192,4,4,0,1,1,1,12,181712,9458000
181,156,3,1,1,1,0,1,9,149638,23700000
227,207,4,3,0,1,1,1,6,177378,7363000
321,306,5,2,1,1,1,1,20,264197,5489000
484,462,7,5,1,1,1,1,21,387376,4216000
170,148,3,3,1,0,1,0,12,118435,4368000
190,178,2,2,0,1,0,0,16,145854,7600000
302,300,5,4,1,0,1,1,3,254455,4545000
117,115,1,1,0,0,0,0,6,77871,23100000
260,224,4,3,1,1,0,1,7,221912,8000000
271,266,5,2,1,1,1,1,1,244207,4514000
151,135,3,2,0,1,0,1,10,125534,5460000
533,519,7,8,1,1,1,1,8,423665,4414000
103,93,1,1,0,0,0,0,8,79728,8868000
173,168,2,3,1,0,0,1,11,140451,6133000
212,192,3,1,1,0,0,0,11,156980,3038000
228,204,3,4,0,0,1,0,2,187637,7100000
283,269,5,3,0,1,1,1,20,236224,7506999
240,217,3,1,1,0,0,0,5,162263,6520000
239,205,3,4,0,1,1,0,1,180367,6389000
362,340,6,7,1,1,1,1,11,290303,11700000
357,343,5,3,1,1,0,1,15,305001,5600000
177,168,2,2,0,1,0,0,13,143831,4562000
145,143,1,2,1,0,0,0,13,103222,2951000
189,162,3,4,0,1,0,1,1,187392,4264000
126,118,2,2,0,1,0,0,19,87038,6698000
353,350,5,5,1,1,1,1,6,294390,8100000
245,213,5,3,1,1,1,1,4,226855,4500000
297,257,5,5,1,1,1,0,18,240581,4928000
214,183,4,3,0,1,0,0,11,171338,6100000
238,224,4,4,0,1,1,1,8,220779,6151000
178,161,2,2,0,0,0,0,1,121390,5426000
323,282,5,4,1,1,0,1,11,241221,13000000
152,142,2,3,0,0,0,0,11,106896,4850000
149,140,2,3,0,1,0,0,21,119377,4604000
238,205,3,2,0,1,0,1,22,194009,3607000
236,215,4,3,0,1,1,1,20,205527,16500000
256,233,5,5,1,1,1,1,11,238334,4840000
297,294,5,2,1,1,1,1,2,254727,25800000
475,451,7,6,1,1,1,1,17,369207,51000000
132,128,2,2,0,0,0,1,11,109392,4809000
170,150,3,1,0,1,1,0,13,141169,5070000
216,195,3,2,1,1,0,0,15,163696,10500000
526,467,8,6,1,1,1,1,17,430611,6850000
222,221,3,4,1,0,1,0,22,156379,4580000
260,260,4,2,1,1,1,1,6,233275,5559000
241,232,4,5,0,1,1,1,19,196305,4723000
287,282,4,3,1,0,1,1,18,233007,4465000
121,103,2,3,1,1,0,1,1,115686,8954000
143,139,1,1,0,0,0,0,13,86727,4000000
280,245,4,5,1,1,1,1,10,259502,5400000
632,567,8,6,1,1,1,1,13,527472,8784000
115,98,1,2,1,0,0,0,2,76899,7900000
205,175,3,3,1,0,1,0,18,187897,4781000
193,192,4,2,1,1,0,1,19,183566,15000000
231,215,5,3,1,1,1,1,18,198919,4700000
321,314,5,5,1,1,1,1,3,251935,7767000
331,308,5,3,1,1,1,0,8,261937,6487000
427,371,6,5,1,1,1,1,21,337540,14000000
162,145,3,4,0,1,0,0,4,131810,8758000
466,419,6,6,1,1,1,1,8,390138,13100000
206,187,4,3,1,1,1,1,18,181708,5500000
207,189,4,5,0,1,1,1,3,218009,4900000
201,181,3,2,0,1,1,0,3,158468,8779000
383,359,6,5,1,1,1,1,16,300328,22000000
134,131,1,2,1,0,0,0,19,89398,5329000
173,148,2,2,0,0,0,0,17,103859,7500000
155,139,3,1,0,1,0,0,15,110155,3779999
256,234,4,5,1,1,1,1,12,224335,9000000
317,299,6,7,1,1,1,1,16,253088,8218000
240,239,4,5,1,1,1,1,20,193711,8656000
260,235,4,4,1,1,1,1,17,229133,7520000
195,187,4,3,1,1,1,1,4,192284,6148000
116,100,1,1,0,0,0,0,14,76826,11000000
239,205,4,5,1,1,0,1,8,192173,11399999
234,221,3,3,1,0,1,0,15,186721,13000000
269,259,4,4,1,1,1,1,5,222170,11299999
156,142,3,1,0,1,1,0,15,143898,4900000
308,265,5,3,1,1,1,1,12,282973,5002000
216,211,4,5,1,1,1,1,11,184876,5036000
413,379,6,4,1,1,1,1,15,339498,6736000
103,102,1,2,1,0,0,0,16,87402,8233000
226,201,3,3,0,0,0,0,15,159508,6761000
224,210,4,2,0,1,0,0,18,163962,6611000
299,278,5,3,1,1,1,1,20,246565,6287000
182,177,2,2,0,0,0,1,3,155549,6437000
352,307,5,2,1,1,1,1,8,288480,6112000
239,213,3,2,1,1,1,0,21,191668,6487000
218,210,3,3,0,0,0,1,13,181747,9412000
469,427,6,6,1,1,1,1,14,363589,10500000
168,163,2,2,0,0,0,0,9,128495,10200000
146,128,2,3,0,1,1,0,19,115748,4722000
218,211,4,5,1,1,0,1,22,181704,4586000
286,259,4,5,1,1,1,1,21,219835,4582000
196,172,4,3,1,1,1,0,7,149434,6787000
199,189,4,2,1,1,1,1,7,182669,9319000
258,241,4,4,1,1,0,0,22,200244,6892000
298,282,5,4,1,1,1,1,9,222028,9277000
351,302,5,3,1,1,0,1,19,273884,11600000
331,295,5,3,1,1,1,1,10,280459,10900000
707,706,8,8,1,1,1,1,8,633937,10500000
131,114,1,1,1,0,0,0,4,96597,9859000
111,100,1,1,1,1,1,0,7,91143,6973999
339,319,5,3,1,1,1,1,3,278842,5705000
351,349,5,4,1,0,1,1,13,278214,5772000
575,510,7,5,1,1,1,1,14,481957,6720999
199,190,3,1,1,0,0,0,14,154835,6761000
335,301,5,5,1,1,1,1,9,287783,5677000
564,550,7,5,1,1,1,1,9,462835,5384000
188,184,2,1,1,0,0,1,11,166690,9141000
201,199,3,1,1,0,0,0,10,157217,9522000
282,242,5,3,0,1,1,1,3,258670,10000000
208,195,3,4,1,0,0,0,6,168724,7211000
328,313,5,5,1,1,1,1,17,240075,8514000
339,306,5,3,0,1,1,1,14,278212,10300000
178,176,2,1,1,0,1,0,9,143234,7783000
172,170,2,3,0,0,0,0,18,130053,7429000
235,228,3,2,1,1,0,0,17,190146,7809999
213,198,3,1,0,1,0,1,17,152609,6250000
294,285,5,5,1,1,1,1,7,258997,3797999
106,103,1,1,1,0,0,0,14,89107,5034000
526,458,7,8,1,1,1,1,12,434971,7897000
237,222,3,3,1,1,1,0,10,194061,5327000
125,116,2,3,0,1,0,1,2,115975,8269000
251,219,4,4,1,1,1,1,13,221823,5958000
220,199,4,5,1,1,1,0,2,168480,6900000
347,326,5,5,1,1,1,1,4,316226,9700000
352,315,6,5,1,1,1,1,22,299973,7300000
213,198,4,2,1,1,1,1,19,191361,9180000
240,204,4,4,0,1,0,1,16,169989,6986000
287,248,5,4,1,1,0,1,9,241830,6081000
218,192,3,1,1,1,0,1,15,188191,7891000
295,276,4,5,1,1,1,0,18,224761,6070000
269,232,4,5,1,1,1,1,16,237263,5961000
732,670,8,8,1,1,1,1,15,616074,8442000
292,260,4,5,1,1,1,1,17,223110,9003000
326,300,5,4,1,1,1,0,22,260625,5923000
302,298,5,5,1,1,1,1,13,258224,6174000
237,218,3,3,0,1,0,0,2,181262,5994000
462,432,7,6,1,1,1,1,22,376138,8180000
121,116,1,2,0,0,1,0,22,83596,7662000
290,286,4,2,1,1,0,1,17,248198,8763000
170,169,3,4,1,0,0,0,4,119513,8957000
171,165,3,2,1,1,0,1,22,133973,6581000
284,277,4,2,1,1,1,1,2,247026,9640000
219,191,4,2,1,1,0,1,1,195210,6664000
270,259,4,2,0,1,1,1,9,236517,6631000
126,118,1,1,0,1,0,0,20,86108,10000000
311,293,5,3,1,1,1,1,20,248858,9879000
228,197,4,2,1,1,1,1,15,226934,8529000
195,194,4,3,1,1,1,1,20,173061,7252000
150,148,2,3,0,0,0,0,3,102931,9037000
189,172,2,1,1,1,0,0,11,142666,7298000
297,274,4,2,0,1,0,1,9,234742,10400000
254,241,4,2,1,1,1,1,15,215166,9520000
105,103,1,2,1,0,0,0,8,74578,7229000
326,318,5,4,1,1,1,1,20,271447,9887000
233,231,5,5,1,1,1,1,20,203147,10300000
346,329,5,5,1,1,1,1,21,298067,7159999
184,157,3,2,1,0,1,0,2,156989,10700000
167,167,3,1,1,0,0,1,2,153839,8900000
221,196,4,4,1,1,1,1,4,193115,9382000
257,256,4,3,1,0,0,1,19,204217,7344000
139,120,2,2,0,0,0,0,14,95329,7091000
404,387,6,6,1,1,1,1,14,331662,6279000
181,175,2,1,1,1,1,0,11,140138,5306000
284,276,4,5,1,1,1,0,3,204294,6655000
249,244,5,5,1,1,1,0,10,205757,5195000
309,304,5,4,1,0,1,0,8,236765,5483000
158,137,3,2,1,1,0,0,15,121941,5527000
215,191,3,2,1,0,0,0,5,155454,6412000
327,280,5,3,1,1,1,0,8,319955,6036000
301,261,4,2,1,1,1,1,5,246785,4930000
194,191,4,5,0,0,0,1,18,157193,6611000
285,272,4,3,1,1,0,0,17,224534,5173000
147,135,2,2,0,1,0,0,22,106071,6058000
222,210,3,1,0,1,0,0,1,185050,5085000
102,97,1,1,0,0,0,0,4,81705,6434000
119,102,1,1,0,1,0,0,17,91617,5262000
287,251,4,5,1,1,1,1,20,251878,6681999
594,558,7,7,1,1,1,1,7,485251,6525000
273,259,4,5,1,1,1,1,12,239005,6997000
323,310,6,4,1,1,1,1,2,280732,6097000
209,207,3,3,0,0,0,0,8,146659,6120000
321,308,5,5,1,1,1,1,11,261140,6142000
315,277,5,2,1,1,1,1,3,277487,6727000
201,187,4,5,1,1,1,1,12,177838,6277000
276,265,4,2,1,1,1,0,3,218677,6750000
204,195,3,3,1,1,0,1,1,179334,6456999
200,198,4,5,1,1,0,1,16,149213,5240000
282,280,4,4,1,0,1,0,18,218357,4120000
262,261,5,3,1,1,1,1,2,242608,7012000
200,193,3,4,1,1,1,0,12,167090,8195000
389,356,6,6,1,1,1,1,21,311121,8050000
350,345,6,7,1,1,1,1,10,302476,5900000
291,252,5,5,1,1,1,1,20,244099,8100000
304,299,5,3,1,0,1,1,1,269943,6400000
245,237,5,3,1,1,1,1,20,207175,6275000
247,229,4,2,1,1,0,1,15,204491,14400000
236,212,4,2,0,1,1,0,6,226527,13700000
304,266,4,2,1,1,0,1,9,259447,11399999
150,146,1,2,1,0,0,0,11,107623,4500000
302,279,4,4,1,1,1,1,16,255877,29600000
289,267,4,4,1,1,1,1,11,253564,8800000
120,103,1,1,0,1,0,0,11,94746,15400000
126,119,2,1,0,1,0,1,10,119907,11000000
223,221,4,2,1,0,0,1,7,171645,9122000
238,228,4,5,0,1,0,1,4,209202,5267000
451,411,6,6,1,1,1,1,16,378002,3507000
102,89,1,2,0,1,1,0,14,97490,4816000
281,257,4,5,1,1,1,1,12,251810,4312000
275,234,4,2,1,1,0,1,9,203732,5295000
213,182,3,4,1,1,1,0,7,182073,3696000
279,268,4,5,1,1,1,1,13,256259,4140000
100,92,1,1,1,1,0,0,9,72429,3832000
164,153,3,3,1,1,1,0,17,136052,3377000
243,208,5,3,1,1,1,1,4,240139,4560000
129,126,1,2,0,0,0,0,11,86600,5015000
121,111,2,1,1,1,1,0,8,92962,3769000
